id,brand_code,canonical_name,normalized_name,english_name,country_code,category,description,status,created_at,updated_at
,BRAND_MYULIP,뮬립,뮬립,MYULIP,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIDNIGHT_MOVE,미드나잇 무브,미드나잇 무브,MIDNIGHT MOVE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MEDIA82,미디어82,미디어82,MEDIA82,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIRER,미레르,미레르,MIRER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIRECO,미레코,미레코,MIRECO,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIMI_MONDE,미미몽드,미미몽드,MIMI MONDE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIMICAWE,미미카위,미미카위,MIMICAWE,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MISEKI_SEOUL,미세키서울,미세키서울,MISEKI SEOUL,,국내 캐주얼·스트릿,신발겸업,ACTIVE,,
,BRAND_MESENSE,미센스,미센스,MESENSE,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MISSLULZ,미스룰즈,미스룰즈,MISSLULZ,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MISTER_CHILD,미스터차일드,미스터차일드,MISTER CHILD,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MYSTEPHENM,미스테페넘,미스테페넘,MYSTEPHENM,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MISTIC_MOON,미스틱문,미스틱문,MISTIC MOON,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MEASPHERA,미스페라,미스페라,MEASPHERA,,골프·스포츠라이프,,ACTIVE,,
,BRAND_UNIVERSITY_OF_MICHIGAN,미시간 유니버시티,미시간 유니버시티,UNIVERSITY OF MICHIGAN,,라이선스·콜라보,대학 라이선스,ACTIVE,,
,BRAND_MISHKA,미시카,미시카,MISHKA,,국내 캐주얼·스트릿,,ACTIVE,,
